org,tweet number,tweet,timestamp,compound,positive,neutral,negative
BBC,35,Indian officer burnt to death over property case https://t.co/liENyFo1cn,2019-11-05 07:04:09+00:00,-0.5994,-0.5994,-0.5994,-0.5994
BBC,36,Chinese pilot banned from flying after passenger cockpit photo https://t.co/zKcgC67Ibh,2019-11-05 06:16:30+00:00,-0.4588,-0.4588,-0.4588,-0.4588
BBC,37,RT @SallyBundockBBC: #Primark - one of the leading players in #fastfashion reveals its latest financial results today. We'd like to know wh…,2019-11-05 04:08:21+00:00,0.3612,0.3612,0.3612,0.3612
BBC,38,Abu Bakr al-Baghdadi: IS leader's sister 'captured by Turkey' https://t.co/IUyERqLsx3,2019-11-05 03:05:46+00:00,0.0,0.0,0.0,0.0
BBC,39,US election 2020: Five charts on the Democratic race to take on Trump https://t.co/xz0zFgfFPt,2019-11-05 00:55:14+00:00,0.0,0.0,0.0,0.0
BBC,40,Fall of Berlin Wall: How 1989 reshaped the modern world https://t.co/NQIZ59uAEe,2019-11-05 00:53:01+00:00,0.0,0.0,0.0,0.0
BBC,41,Tourist lost at sea off Greek island 'survived by eating sweets' https://t.co/gNUSgH5OOR,2019-11-05 00:45:59+00:00,0.6369,0.6369,0.6369,0.6369
BBC,42,Man accused of plotting to bomb Colorado synagogue https://t.co/ywrCCjzMz1,2019-11-04 23:21:42+00:00,-0.6597,-0.6597,-0.6597,-0.6597
BBC,43,"President Trump gives baseball player Kurt Suzuki a big hug for wearing a ""Make America Great Again"" hat to the White House

[Tap to expand] https://t.co/DuiDWfYCof https://t.co/cjGdszZGBH",2019-11-04 22:49:00+00:00,0.802,0.802,0.802,0.802
BBC,44,Catalonia crisis: Separatists burn pictures of Spanish king https://t.co/dDog2IU5Y4,2019-11-04 22:02:16+00:00,-0.6249,-0.6249,-0.6249,-0.6249
BBC,45,Paris climate accords: US notifies UN of intention to withdraw https://t.co/hEswJ7gnr2,2019-11-04 21:17:53+00:00,0.0,0.0,0.0,0.0
BBC,46,Hong Kong: Xi expresses 'high degree of confidence' in Lam https://t.co/zpuDTY0HzX,2019-11-04 20:16:18+00:00,0.5106,0.5106,0.5106,0.5106
BBC,47,"This 101-year-old shipwreck was dislodged in a rough storm last week and has moved closer to the edge of Niagara Falls

[Tap to expand]

https://t.co/nQqKbnoaAF https://t.co/Ii65nWq3VA",2019-11-04 19:29:43+00:00,0.0,0.0,0.0,0.0
BBC,48,Canada's Green Party leader Elizabeth May steps down https://t.co/rNihI2xN8w,2019-11-04 19:24:13+00:00,0.4019,0.4019,0.4019,0.4019
BBC,49,"Rejoicing in the rain! ☔

Farmers and their families celebrate the recent wet weather following one of Australia's longest dry spells 

[tap to expand] https://t.co/aKLV1ftGOq https://t.co/SBAYZt85Vl",2019-11-04 18:18:33+00:00,0.8313,0.8313,0.8313,0.8313
BBC,50,Romanians march in protest against illegal logging and to demand action over killing of forest workers https://t.co/wWRqoXTUaP,2019-11-04 17:15:01+00:00,-0.8885,-0.8885,-0.8885,-0.8885
